,0
"""ITALY,FRASSINORO,41044""
","44.2968338,10.5729981"
"""ITALY,RIVALTA DI TORINO,10100""
","45.056815,7.6501807"
"""GERMANY,ESSLINGEN-METTINGEN,73733""
","48.7563127,9.2985401"
"""ITALY,ROSTA,10090""
","45.0705385,7.472695"
"""FRANCE,LES HERBIERS,85500""
","46.86919,-1.013388"
"""GERMANY,ELCHINGEN,89275""
","48.4473473,10.0882187"
"""GERMANY,SINGEN,78224""
","47.7670971,8.8722387"
"""TURKEY,CATALCA ISTANBUL,34540""
","41.142259,28.457469"
"""ITALY,ARCO,38062""
","45.9178609,10.8855763"
"""ITALY,ANCONA,60131""
","43.6158299,13.518915"
"""FRANCE,SAINT-QUENTIN FALLAVIER,38070""
","45.632449,5.111562"
"""ITALY,CONSELICE,48017""
","44.5151005,11.8285289"
"""ITALY,VALPERGA,10087""
","45.3703103,7.6575696"
"""ITALY,CASTEL ROZZONE,24040""
","45.5565155,9.6238398"
"""GERMANY,ESCHWEGE,37269""
","51.1876662,10.0397725"
"""POLAND,WYSZKOW,07-200""
","52.5955808,21.451209"
"""NETHERLANDS,SLIEDRECHT,3361""
","51.8186046,4.767992"
"""ITALY,CASTELFRACO EMILIA,41013""
","44.5899674,11.0978357"
"""UNITED KINGDOM,EBBW VALE,NP23 5SD""
","51.8025906,-3.2338243"
"""ITALY,RUFFANO,73049""
","39.9829215,18.2490162"
"""LATVIA,JELGAVA,3004""
","56.6736182,23.7624455"
"""ITALY,THIENE,36016""
","45.692401,11.4839019"
"""DENMARK,HORSENS,8700""
","55.8581302,9.8475881"
"""ITALY,MONCALIERI,10024""
","44.9983525,7.6802878"
"""FRANCE,STRASBOURG,67100""
","48.5266021,7.781398"
"""FRANCE,ROOST WARENDIN,59286""
","50.415327,3.1050809"
"""ITALY,SANDRIGO,36066""
","45.6592011,11.6029356"
"""FRANCE,PONTARLIER,25300""
","46.9041039,6.354242"
"""ITALY,REGGIO EMILIA,42010""
","44.4076831,10.5633676"
"""ITALY,CASTELGUELFO DI BOLOGNA,40023""
","44.4328527,11.6750857"
